SubmissionDate,meta-instanceID,sensornumber,location:Latitude,location:Longitude,location-Altitude,location-Accuracy,direction,sunorshade,attachment,landcoverclass,picture,time,notes,KEY
6/8/15 14:13,uuid:27680b4b-d59b-4635-9811-ccb9685fc1e0,1,33.51008404,-86.80973051,143,5,0,partial,tree,grass,media/1433787131600.jpg,6/8/15 14:12,nothingtoadd,uuid:27680b4b-d59b-4635-9811-ccb9685fc1e0
6/9/15 19:14,uuid:b378c9b5-b993-424c-b18c-86489aef7a8d,2,31.96722176,-87.63193427,35,45,0,shade,tree,dirt,media/1433879078506.jpg,6/9/15 15:45,Golden Dragon copper plant,uuid:b378c9b5-b993-424c-b18c-86489aef7a8d
6/8/15 17:34,uuid:978e2b27-477a-429d-aa6b-8d577f5ebff1,4,33.50253238,-86.80197573,126,5,0,partial,tree,grass,media/1433799210655.jpg,6/8/15 17:33,This may be irrigated?,uuid:978e2b27-477a-429d-aa6b-8d577f5ebff1
,uuid:747ca46e-c54d-4be1-9d3c-f5535756ba42,5,32.00165962,-87.33473646,56,5,0,shade,deadwood,impervious,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorFinal_1432757672%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A747ca46e-c54d-4be1-9d3c-f5535756ba42%5D%2Fpicture,Tue Jun 09 20:33:24 UTC 2015,"Under side patio, next to grass/dirt field",
6/9/15 19:10,uuid:4fd679c2-786a-456b-9fdb-ed69a05cfe49,7,31.99123288,-87.28875148,37,5,0,shade,tree,impervious,media/1433868287878.jpg,6/9/15 12:45,Big tree next to courthouse,uuid:4fd679c2-786a-456b-9fdb-ed69a05cfe49
6/11/15 14:09,uuid:8f357a35-323e-4268-a799-8cbd6fab6e58,3,31.96576806,-87.47777599,-2,5,0,shade,tree,grass,media/1434046053368.jpg,6/11/15 14:07,nothingtoadd,uuid:8f357a35-323e-4268-a799-8cbd6fab6e58
6/8/15 18:11,uuid:f5365b56-6b90-4ef5-9993-80f035b532af,8,33.5094997,-86.80155859,160,9,0,partial,tree,impervious,media/1433800474547.jpg,6/8/15 17:54,Dirt planter,uuid:f5365b56-6b90-4ef5-9993-80f035b532af
6/8/15 15:14,uuid:716229ec-995b-4f7d-80dd-8f216a5c4160,9,33.50919348,-86.84101659,122,8,0,shade,metal,impervious,media/1433790837309.jpg,6/8/15 15:14,On home,uuid:716229ec-995b-4f7d-80dd-8f216a5c4160
6/8/15 11:05,uuid:58fb2c9a-ac57-4dbd-a762-6c9310064213,10,33.56632475,-86.79439191,131,5,0,shade,tree,dirt,media/1433775885796.jpg,6/8/15 11:05,Next to basketball court,uuid:58fb2c9a-ac57-4dbd-a762-6c9310064213
6/9/15 19:13,uuid:3710513e-fcae-40dd-89b8-024908931712,11,31.96582461,-87.47792357,13,5,0,shade,tree,grass,media/1433874861666.jpg,6/9/15 14:34,Paper plant,uuid:3710513e-fcae-40dd-89b8-024908931712
6/8/15 18:16,uuid:5cb99789-f0bb-489e-9bc7-42e6182c4a95,12,33.51329661,-86.7931429,166,5,0,partial,tree,impervious,media/1433800773762.jpg,6/8/15 17:59,Grass underneath,uuid:5cb99789-f0bb-489e-9bc7-42e6182c4a95
6/8/15 14:34,uuid:001fde3b-3fe0-4d35-8e4e-972e946a80b8,13,33.50837408,-86.80856562,151,5,0,shade,tree,impervious,media/1433788347295.jpg,6/8/15 14:33,Grass underneath,uuid:001fde3b-3fe0-4d35-8e4e-972e946a80b8
6/9/15 19:09,uuid:9346e46c-e60c-4203-9314-8891d68afd03,14,31.9918251,-87.29091803,50,5,0,partial,tree,dirt,media/1433867350598.jpg,6/9/15 12:29,Grass underneath,uuid:9346e46c-e60c-4203-9314-8891d68afd03
6/8/15 17:24,uuid:9e5457ca-a43d-4308-9dc3-38babbd21ad5,16,33.49248827,-86.79564341,222,5,0,shade,tree,grass,media/1433798506992.jpg,6/8/15 17:22,Near parking lot and concrete trail,uuid:9e5457ca-a43d-4308-9dc3-38babbd21ad5
6/8/15 14:49,uuid:fa58946a-3a87-44fd-8476-b55db852a068,17,33.50333718,-86.83673792,147,5,0,shade,tree,grass impervious,media/1433789244127.jpg,6/8/15 14:47,near playground and blacktop on grass,uuid:fa58946a-3a87-44fd-8476-b55db852a068
6/8/15 12:06,uuid:fd8f459d-20e2-451d-a2e1-7009e5228e02,18,33.55883041,-86.8191733,149,5,0,partial,tree,grass,media/1433779447753.jpg,6/8/15 12:04,Sidewalk strip of grass,uuid:fd8f459d-20e2-451d-a2e1-7009e5228e02
6/8/15 12:40,uuid:024039f3-0d61-4e09-9342-bc52bd6793c7,19,33.52011547,-86.80962317,157,7,0,shade,tree,dirt,media/1433781571414.jpg,6/8/15 12:39,Park with dirt and grass,uuid:024039f3-0d61-4e09-9342-bc52bd6793c7
6/9/15 19:18,uuid:cc38d86e-4f5e-45ba-97dc-db8f6fa641be,20,31.96530404,-87.48555554,17,5,0,partial,tree,dirt,media/1433876956932.jpg,6/9/15 15:09,Lawn? Dirt? Road?,uuid:cc38d86e-4f5e-45ba-97dc-db8f6fa641be
6/8/15 16:38,uuid:58a094c8-ef7f-4ae4-a3d5-d23b16182a9f,21,33.48637836,-86.82018627,121,5,0,shade,deadwood,grass,media/1433795833723.jpg,6/8/15 16:37,In shelter,uuid:58a094c8-ef7f-4ae4-a3d5-d23b16182a9f
6/8/15 18:17,uuid:4e25853b-5e3c-40c1-b497-4236014be747,23,33.52103795,-86.77701044,170,5,0,shade,tree,grass,media/1433801127757.jpg,6/8/15 18:06,Sidewalk tree with grass below,uuid:4e25853b-5e3c-40c1-b497-4236014be747
6/8/15 15:37,uuid:91c0fd73-3eae-4b58-89fe-9f04165bae30,24,33.46314769,-86.88531382,128,5,0,shade,deadwood,grass,media/1433792231889.jpg,6/8/15 15:37,nothingtoadd,uuid:91c0fd73-3eae-4b58-89fe-9f04165bae30
6/8/15 15:02,uuid:a60c1222-addb-4c6e-859c-32f92a32880a,27,33.51016525,-86.84542073,139,4,0,shade,tree,dirt,media/1433790114462.jpg,6/8/15 15:02,Patchy grass,uuid:a60c1222-addb-4c6e-859c-32f92a32880a
6/8/15 10:42,uuid:106d0ebb-53cc-4842-9fb2-7dfd9884d866,28,33.54936778,-86.7843688,146,5,0,shade,metal,impervious,media/1433773478743.jpg,6/8/15 10:28,In a park,uuid:106d0ebb-53cc-4842-9fb2-7dfd9884d866
6/8/15 12:53,uuid:980e3db5-342b-4d85-bbe9-890ea6ec8b5c,30,33.5194223,-86.81045568,136,5,0,shade,tree,impervious,media/1433782343395.jpg,6/8/15 12:52,nothingtoadd,uuid:980e3db5-342b-4d85-bbe9-890ea6ec8b5c
6/9/15 19:15,uuid:4f299069-8f62-4dad-969a-4c917b36ed43,32,32.11612991,-87.39199336,-7,5,0,shade,deadwood,grass,media/1433883825317.jpg,6/9/15 17:04,Gazebo,uuid:4f299069-8f62-4dad-969a-4c917b36ed43
6/8/15 15:46,uuid:ede2eb22-6268-4180-a8ea-ff70cbd23165,35,33.46105312,-86.88760486,121,5,0,partial,tree,grass,media/1433792759986.jpg,6/8/15 15:46,Grassy median,uuid:ede2eb22-6268-4180-a8ea-ff70cbd23165
6/8/15 16:46,uuid:b5f5b40a-82c7-4965-996c-fc349cf7db7f,37,33.48584864,-86.81803947,196,5,0,shade,tree,grass,media/1433796250851.jpg,6/8/15 16:45,On top of hill,uuid:b5f5b40a-82c7-4965-996c-fc349cf7db7f
6/8/15 11:47,uuid:ac0892d9-5786-450b-a411-439b0845b2a6,39,33.5604949,-86.81728417,141,5,0,shade,deadwood,impervious,media/1433778381016.jpg,6/8/15 11:47,Under shelter in park,uuid:ac0892d9-5786-450b-a411-439b0845b2a6
6/9/15 19:14,uuid:3ffc1f2d-1bad-48f3-b31d-146ce1642f5d,41,31.95675253,-87.47756973,3,6,0,partial,tree,grass,media/1433877551162.jpg,6/9/15 15:19,Raceway,uuid:3ffc1f2d-1bad-48f3-b31d-146ce1642f5d
6/9/15 19:08,uuid:b129aec3-8f07-439c-b9b0-f5b8262e499c,42,32.02598667,-87.31874946,58,5,0,shade,tree,grass,media/1433866389819.jpg,6/9/15 12:13,Near sidewalk and parking lot but grassy area,uuid:b129aec3-8f07-439c-b9b0-f5b8262e499c
6/8/15 10:45,uuid:8738c7c5-1144-411f-b8f7-43f797ff1fcf,43,33.5485593,-86.78249648,157,3,0,shade,tree,grass,media/1433774274911.jpg,6/8/15 10:39,Within 50 ft of bioswale creek,uuid:8738c7c5-1144-411f-b8f7-43f797ff1fcf
6/9/15 19:10,uuid:f4c655a3-c4ae-4840-ae40-a8e17ab404ca,45,31.9902095,-87.29016103,33,5,0,shade,metal,impervious,media/1433868960736.jpg,6/9/15 12:56,nothingtoadd,uuid:f4c655a3-c4ae-4840-ae40-a8e17ab404ca
