"meta:instanceID","sensornumber","location:Latitude","location:Longitude","location:Altitude","location:Accuracy","direction","sunorshade","attachment","landcoverclass","picture","time","notes"
"uuid:0729b873-44eb-42fb-a08d-3e06b81a5789","13","-1.3080583333","36.7897033333","1748.8000000000","4.3000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0729b873-44eb-42fb-a08d-3e06b81a5789%5D%2Fpicture","Wed Dec 02 07:24:58 UTC 2015","Kichinjio bens place"
"uuid:e70d23fc-ca78-4ecb-8b9a-0a1c048b75cb","23","-1.3080083333","36.7897583333","1748.7000000000","5.0000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae70d23fc-ca78-4ecb-8b9a-0a1c048b75cb%5D%2Fpicture","Wed Dec 02 07:28:08 UTC 2015","Jumas house"
"uuid:d778cf0a-211f-435a-8e5a-f028ff32d7e4","31","-1.3146966667","36.7845716667","1735.4000000000","4.8000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad778cf0a-211f-435a-8e5a-f028ff32d7e4%5D%2Fpicture","Wed Dec 02 07:56:44 UTC 2015","Katwekera"
"uuid:82801a59-cda3-4527-a58f-1210b595ed62","25","-1.3148833333","36.7844450000","1730.0000000000","4.5000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A82801a59-cda3-4527-a58f-1210b595ed62%5D%2Fpicture","Wed Dec 02 07:59:44 UTC 2015","Katwekera"
"uuid:60730d26-3e8c-4c88-a58f-39292ea43d52","30","-1.3149366667","36.7859550000","1718.5000000000","4.7000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A60730d26-3e8c-4c88-a58f-39292ea43d52%5D%2Fpicture","Wed Dec 02 08:15:21 UTC 2015","Facing down and inside the house"
"uuid:12c6b827-47b9-4f4f-8a3a-c58a8c328e2f","9","-1.3150816667","36.7849400000","1729.6000000000","4.3000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A12c6b827-47b9-4f4f-8a3a-c58a8c328e2f%5D%2Fpicture","Wed Dec 02 08:24:45 UTC 2015","Shaded above"
"uuid:765c0b92-9eee-44ab-a520-8b23a8d08d1d","29","-1.3155066667","36.7828100000","1733.3000000000","5.0000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A765c0b92-9eee-44ab-a520-8b23a8d08d1d%5D%2Fpicture","Wed Dec 02 08:36:39 UTC 2015","Kk mikie"
"uuid:ffc606d2-031f-4d1c-9fce-eb7dbc06519d","8","-1.3157783333","36.7832350000","1714.0000000000","5.0000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Affc606d2-031f-4d1c-9fce-eb7dbc06519d%5D%2Fpicture","Wed Dec 02 08:55:39 UTC 2015","Kk janets place"
"uuid:be6e6b70-f240-4dd6-8598-76dd15198877","21","-1.3096966667","36.7754783333","1786.3000000000","5.0000000000","0","shade","wood","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abe6e6b70-f240-4dd6-8598-76dd15198877%5D%2Fpicture","Wed Dec 02 09:35:04 UTC 2015","Ayanyi mama lary"
"uuid:d27927ff-b2da-44bc-8ddb-869208064b3e","7","-1.3164550000","36.7755916667","1792.2000000000","5.0000000000","180","sun","other","impervious","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorNairobi_1448967792%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad27927ff-b2da-44bc-8ddb-869208064b3e%5D%2Fpicture","Wed Dec 02 10:14:13 UTC 2015","Bombolulu facing south in soweto"
